Species	Status	min_age	max_age
Fossacypraea_eburnina	extinct	20.45	23.04
Lyncina_tumida	extinct	20.45	23.04
Fossacypraea_apiceproducta	extinct	20.45	23.04
Trona_trinitatensis	extinct	15.98	23.04
Cypraea	extinct	13.82	15.98
Cypraea	extinct	3.6	5.333
Erosaria_spurca	extant	3.6	7.246
Luria_isabella	extant	3.6	7.246
Zonaria	extinct	3.6	5.333
Cypraea	extinct	3.6	7.246
Erosaria_spurca	extant	3.6	7.246
Pseudozonaria_raymondrobertsi	extinct	3.6	7.246
Muracypraea_henekeni	extinct	3.6	7.246
Erosaria_spurca	extant	3.6	7.246
Pseudozonaria_raymondrobertsi	extinct	3.6	7.246
Luria_isabella	extant	3.6	7.246
Muracypraea_henekeni	extinct	3.6	7.246
Muracypraea_henekeni	extinct	3.6	7.246
Cypraea	extinct	15.98	23.04
Cypraea	extinct	15.98	23.04
Cypraea	extinct	15.98	23.04
Macrocypraea_zebra	extant	3.6	5.333
Luria_isabella	extant	3.6	5.333
Muracypraea_henekeni	extinct	3.6	5.333
Erosaria_spurca	extant	13.82	15.98
Cypraea_(Luria)_cinerea	extant	3.6	5.333
Macrocypraea	extinct	3.6	5.333
Luria_isabella	extant	3.6	5.333
Cypraeorbis_noveli	extinct	3.6	5.333
Pseudozonaria_raymondrobertsi	extinct	3.6	5.333
Erosaria_spurca	extant	3.6	5.333
Muracypraea_henekeni	extinct	3.6	7.246
Zonaria_spurcoides	extinct	3.6	7.246
Muracypraea_henekeni	extinct	3.6	7.246
Erosaria_spurca	extant	3.6	7.246
Cypraeorbis_noveli	extinct	3.6	7.246
Prozonarina_maxima	extinct	23.04	27.03
Prozonarina_maxima	extinct	23.04	27.03
Proadusta_parvitala	extinct	23.04	27.03
Proadusta_parvitala	extinct	27.03	33.9
Proadusta_inaequilabiata	extinct	23.04	27.03
Muracypraea	extinct	11.63	15.98
Cypraea	extinct	0	0.0117
Muracypraea	extinct	11.63	15.98
Cypraea	extinct	48.07	56
Barycypraea_singuensis	extinct	23.04	27.03
Vicetia_sowerbyi	extinct	48.07	56
Bernaya_(Bernaya)_ellipsoides	extinct	48.07	56
Gisortia_gigantea	extinct	41.03	48.07
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	23.04
Barycypraea_humerosa	extinct	15.98	23.04
Barycypraea_humerosa	extinct	15.98	23.04
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	23.04
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	23.04
Barycypraea_humerosa	extinct	15.98	23.04
Barycypraea_humerosa	extinct	15.98	23.04
Erronea_(Gratiadusta)_nasuta	extinct	15.98	23.04
Erronea_(Gratiadusta)_nasuta	extinct	15.98	23.04
Barycypraea_humerosa	extinct	15.98	23.04
Cypraea_(Erosaria)_sindiensis	extinct	27.03	33.9
Barycypraea_humerosa	extinct	15.98	23.04
Gisortia	extinct	33.9	37.71
Cypraea	extinct	11.63	15.98
Gisortia_murchisoni	extinct	41.03	48.07
Gisortia_gigantea	extinct	33.9	37.71
Gisortia_gigantea	extinct	41.03	48.07
Gisortia_gigantea	extinct	41.03	48.07
Cypraea_(Erosaria)_sindiensis	extinct	27.03	33.9
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	20.45
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	20.45
Luria_(Basilitrona)_jenkinsi	extinct	15.98	20.45
Cypraea	extinct	2.58	5.333
Lyncina_carneola	extant	2.58	5.333
Zonaria_dertamygdaloides	extinct	15.98	23.04
Zonaria_dertamygdaloides	extinct	15.98	23.04
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	23.04
Callistocypraea_(Miolyncina)_prunum	extinct	15.98	23.04
Luria_(Basilitrona)_jenkinsi	extinct	15.98	23.04
Zonaria_dertamygdaloides	extinct	15.98	23.04
Cypraea	extinct	33.9	37.71
