occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
599736;occ;NA;NA;63701;Umbilia (Umbilia) hesitata;NA;species;84140;Late Pliocene;;3.6;2.58
615276;occ;NA;NA;66141;Muracypraea angustirima;NA;species;71940;Early Miocene;;23.04;15.98
620567;occ;NA;NA;66777;Cypraea;NA;genus;9724;Early Pleistocene;;2.58;0.774
622887;occ;NA;NA;67070;Macrocypraea cervus;NA;species;156624;Middle Pleistocene;;0.774;0.129
623096;occ;NA;NA;67077;Akleistostoma floridana;NA;species;343114;Late Pliocene;;3.6;2.58
629959;occ;NA;NA;67887;Cypraea;NA;genus;9724;Otaian;;21.7;18.7
631842;occ;NA;NA;67948;Cypraea (Luria) cinerea;NA;species;167360;Late Pleistocene;;0.129;0.0117
631843;occ;NA;NA;67960;Cypraea (Luria) cinerea;NA;species;167360;Middle Pleistocene;;0.774;0.129
631844;occ;22341;NA;67949;Erosaria acicularis;NA;species;167365;Middle Pleistocene;;0.774;0.129
631845;occ;NA;NA;67947;Macrocypraea zebra;NA;species;109181;Middle Pleistocene;;0.774;0.129
631846;occ;NA;NA;67948;Macrocypraea zebra;NA;species;109181;Late Pleistocene;;0.129;0.0117
631847;occ;NA;NA;67960;Macrocypraea zebra;NA;species;109181;Middle Pleistocene;;0.774;0.129
631848;occ;NA;NA;67967;Macrocypraea zebra;NA;species;109181;Late Pleistocene;;0.129;0.0117
633403;occ;NA;NA;68180;Cypraea (Luria) isabella lekalekana;NA;subspecies;115685;Pliocene;;5.333;2.58
633404;occ;NA;NA;68180;Cypraea (Cypraea);NA;subgenus;91944;Pliocene;;5.333;2.58
633405;occ;NA;NA;68180;Cypraea (Erronea) mbalavuensis;NA;species;343046;Pliocene;;5.333;2.58
633406;occ;NA;NA;68180;Erosaria eburnea;NA;species;91939;Pliocene;;5.333;2.58
633422;occ;NA;NA;68181;Cypraea (Erronea) mbalavuensis;NA;species;343046;Pliocene;;5.333;2.58
633423;occ;NA;NA;68181;Erosaria eburnea;NA;species;91939;Pliocene;;5.333;2.58
633424;occ;NA;NA;68181;Pustularia margarita;NA;species;91936;Pliocene;;5.333;2.58
633425;occ;NA;NA;68181;Cypraea (Staphylaea) nucleus;NA;species;170608;Pliocene;;5.333;2.58
641068;occ;NA;NA;68971;Cypraea;NA;genus;9724;Burdigalian;;20.45;15.98
646332;occ;NA;NA;69812;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
646417;occ;NA;NA;69860;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
646492;occ;NA;NA;69864;Cypraea;NA;genus;9724;Messinian;;7.246;5.333
648160;occ;NA;NA;70064;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
648997;occ;NA;NA;70077;Barycypraea murisimilis;NA;species;127321;Late Miocene;;11.63;5.333
648998;occ;NA;NA;70081;Barycypraea murisimilis;NA;species;127321;Middle Miocene;;15.98;11.63
648999;occ;NA;NA;63040;Barycypraea murisimilis;NA;species;127321;Middle Miocene;;15.98;11.63
649000;occ;NA;NA;70098;Barycypraea murisimilis;NA;species;127321;Late Miocene;;11.63;5.333
649001;occ;NA;NA;70100;Barycypraea murisimilis;NA;species;127321;Late Miocene;;11.63;5.333
649002;occ;NA;NA;70081;Barycypraea orangensis;NA;species;343027;Middle Miocene;;15.98;11.63
649003;occ;NA;NA;70107;Barycypraea suryai;NA;species;342297;Middle Miocene;;15.98;11.63
649004;occ;NA;NA;70081;Barycypraea suryai;NA;species;342297;Middle Miocene;;15.98;11.63
649006;occ;NA;NA;70100;Barycypraea bensoni;NA;species;341926;Late Miocene;;11.63;5.333
649007;occ;NA;NA;70077;Barycypraea bensoni;NA;species;341926;Late Miocene;;11.63;5.333
649008;occ;NA;NA;70124;Zonarina subelongata;NA;species;342299;Early Miocene;;23.04;15.98
649009;occ;NA;NA;70100;Cypraea tigris;NA;species;60045;Late Miocene;;11.63;5.333
649010;occ;NA;NA;70100;Mauritia arabica;NA;species;60023;Late Miocene;;11.63;5.333
649011;occ;NA;NA;70086;Cypraea;NA;genus;9724;Middle Miocene;;15.98;11.63
649012;occ;NA;NA;70085;Cypraea (Aricia) simplicissima;NA;species;342210;Middle Miocene;;15.98;11.63
649013;occ;NA;NA;70100;Barycypraea murisimilis;NA;species;127321;Late Miocene;;11.63;5.333
649014;occ;NA;NA;70100;Cypraea (Lyncina) lynx;NA;species;60039;Late Miocene;;11.63;5.333
649018;occ;NA;NA;70105;Cypraea (Lyncina) vitellus;NA;species;60046;Pliocene;;5.333;2.58
649019;occ;NA;NA;70081;Cypraea (Lyncina) vitellus;NA;species;60046;Middle Miocene;;15.98;11.63
649020;occ;NA;NA;63040;Cypraea (Lyncina) vitellus;NA;species;60046;Middle Miocene;;15.98;11.63
649022;occ;NA;NA;70121;Naria erosa;NA;species;60031;Middle Miocene;;15.98;11.63
649023;occ;NA;NA;70084;Naria erosa;NA;species;60031;Late Pliocene;;3.6;2.58
649024;occ;NA;NA;63040;Naria erosa;NA;species;60031;Middle Miocene;;15.98;11.63
649025;occ;NA;NA;70077;Naria erosa;NA;species;60031;Late Miocene;;11.63;5.333
649026;occ;NA;NA;70079;Erosaria (Erosaria) pliostaphylaea;NA;species;342819;Late Pliocene;;3.6;2.58
