it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
127000	-2741.847173654645	-74.46685871917998	-2667.380314935465	6	6	4.526729385494818	147.7878483103789	0.0	3256.3355761243356
128000	-2751.7987394377974	-83.38862703779154	-2668.410112400006	7	6	4.785316594849183	147.7878483103789	0.0	3256.3355761243356
129000	-2741.023705123004	-74.52802402264376	-2666.4956811003603	6	6	4.056176657061518	147.7878483103789	0.0	3256.3355761243356
130000	-2746.9954308978813	-80.30007777470465	-2666.6953531231766	6	7	5.175888240097093	147.7878483103789	0.0	3256.3355761243356
131000	-2744.837838885791	-76.17046855887318	-2668.6673703269175	6	6	7.161288474091682	147.7878483103789	0.0	3256.3355761243356
132000	-2743.5593600667235	-74.58297712637106	-2668.9763829403523	6	6	2.934982068760315	147.7878483103789	0.0	3256.3355761243356
133000	-2746.9188995725112	-80.30683469340335	-2666.612064879108	6	7	3.877460277617458	147.7878483103789	0.0	3256.3355761243356
134000	-2745.2751673699577	-73.82505039783143	-2671.450116972126	6	5	5.465606038445892	147.7878483103789	0.0	3256.3355761243356
135000	-2749.360809664768	-83.61096363263141	-2665.7498460321367	6	7	5.418971643996132	147.7878483103789	0.0	3256.3355761243356
136000	-2752.9887726143056	-79.56724939676218	-2673.4215232175434	6	7	2.644767764129888	147.7878483103789	0.0	3256.3355761243356
137000	-2747.144641834273	-78.02814164683828	-2669.1165001874347	6	6	7.390863578109539	147.7878483103789	0.0	3256.3355761243356
138000	-2749.2897863733137	-74.48810160608483	-2674.801684767229	6	6	2.2102608837350406	147.7878483103789	0.0	3256.3355761243356
139000	-2747.761938607194	-75.91107234618845	-2671.8508662610056	6	6	7.019990601332536	147.7878483103789	0.0	3256.3355761243356
140000	-2745.635265705369	-79.12802587883556	-2666.5072398265334	6	6	2.7219626262882537	147.7878483103789	0.0	3256.3355761243356
141000	-2741.2890977223783	-73.51980694480262	-2667.769290777576	6	6	4.095389646006912	147.7878483103789	0.0	3256.3355761243356
142000	-2753.3823478884688	-81.00369670296365	-2672.378651185505	6	6	8.90214705185193	147.7878483103789	0.0	3256.3355761243356
143000	-2746.579719206845	-73.80390765750849	-2672.775811549336	6	5	5.3296301624375495	147.7878483103789	0.0	3256.3355761243356
144000	-2744.1908483748225	-72.52260562868011	-2671.6682427461424	6	5	3.5893319758141278	147.7878483103789	0.0	3256.3355761243356
145000	-2740.63465287457	-77.50336510403069	-2663.131287770539	6	6	5.526270253745947	147.7878483103789	0.0	3256.3355761243356
146000	-2740.154217316301	-74.73871528495113	-2665.41550203135	6	6	5.506922964286485	147.7878483103789	0.0	3256.3355761243356
147000	-2750.844842490402	-82.55660595557363	-2668.2882365348282	6	7	5.056619442934297	147.7878483103789	0.0	3256.3355761243356
148000	-2741.005241583753	-72.89907969084263	-2668.1061618929107	6	6	3.889305536762537	147.7878483103789	0.0	3256.3355761243356
149000	-2739.3179976791876	-73.56358981068652	-2665.754407868501	6	6	7.111777744288855	147.7878483103789	0.0	3256.3355761243356
150000	-2739.675834807386	-76.1416496882296	-2663.534185119156	6	6	4.974826121416139	147.7878483103789	0.0	3256.3355761243356
151000	-2746.7751789313315	-67.88905994891017	-2678.8861189824215	6	5	3.845960086712732	147.7878483103789	0.0	3256.3355761243356
152000	-2745.1841711628163	-69.33557680115395	-2675.8485943616624	6	5	5.736382868948432	147.7878483103789	0.0	3256.3355761243356
153000	-2744.0890660703644	-72.61571703178983	-2671.4733490385747	6	5	5.490453377578767	147.7878483103789	0.0	3256.3355761243356
154000	-2747.9184003093724	-67.90188379073065	-2680.0165165186418	6	5	5.527863698327831	147.7878483103789	0.0	3256.3355761243356
155000	-2752.6827888501134	-77.43158379536429	-2675.2512050547493	6	5	3.333027577108309	147.7878483103789	0.0	3256.3355761243356
156000	-2739.990142031908	-74.01224390031929	-2665.9778981315885	6	6	3.967478223271556	147.7878483103789	0.0	3256.3355761243356
157000	-2744.6131830505715	-77.15430501865865	-2667.4588780319127	6	6	4.941896602019775	147.7878483103789	0.0	3256.3355761243356
158000	-2749.235911051882	-78.12333055734283	-2671.112580494539	6	6	3.2635122959450453	147.7878483103789	0.0	3256.3355761243356
159000	-2750.761780077496	-81.50559736780058	-2669.2561827096956	7	6	4.224364206791065	147.7878483103789	0.0	3256.3355761243356
160000	-2755.868187064139	-89.1871782332434	-2666.6810088308957	7	7	5.920643903217698	147.7878483103789	0.0	3256.3355761243356
161000	-2743.6762112782626	-76.99427682088229	-2666.6819344573805	6	6	5.274180978574607	147.7878483103789	0.0	3256.3355761243356
162000	-2750.5278903193393	-76.2956625167914	-2674.232227802548	6	5	3.614702396685481	147.7878483103789	0.0	3256.3355761243356
163000	-2747.0300648948137	-66.61780798159232	-2680.4122569132214	6	5	4.151996349780704	147.7878483103789	0.0	3256.3355761243356
164000	-2747.8064633527874	-69.62190783941304	-2678.1845555133746	6	5	5.706448174864215	147.7878483103789	0.0	3256.3355761243356
165000	-2744.6799819543476	-68.44474890079564	-2676.235233053552	6	5	5.178966446526656	147.7878483103789	0.0	3256.3355761243356
166000	-2747.603507302279	-68.97785551643102	-2678.625651785848	6	5	3.9983161381188204	147.7878483103789	0.0	3256.3355761243356
167000	-2747.2712552108464	-69.74751955077079	-2677.5237356600755	6	5	5.289202952177924	147.7878483103789	0.0	3256.3355761243356
168000	-2748.2179348893237	-65.23284036352418	-2682.9850945257995	6	5	3.283493176927939	147.7878483103789	0.0	3256.3355761243356
169000	-2746.1943908311746	-67.65267815717135	-2678.541712674003	6	5	5.188868862336969	147.7878483103789	0.0	3256.3355761243356
170000	-2749.5302880885683	-65.95297022422376	-2683.5773178643444	6	5	4.960789989126637	147.7878483103789	0.0	3256.3355761243356
171000	-2745.535977968798	-71.3219377876733	-2674.2140401811243	6	5	3.9473875401915817	147.7878483103789	0.0	3256.3355761243356
172000	-2745.128443472691	-76.88779248774975	-2668.240650984941	6	6	4.509746193322039	147.7878483103789	0.0	3256.3355761243356
173000	-2754.9721347423674	-76.78534299641912	-2678.186791745948	6	6	5.057303611447254	147.7878483103789	0.0	3256.3355761243356
174000	-2746.423774946609	-77.0965516486504	-2669.3272232979584	6	6	2.844161142228077	147.7878483103789	0.0	3256.3355761243356
175000	-2755.6958392549595	-88.24842453291484	-2667.447414722045	7	6	3.7435918379359525	147.7878483103789	0.0	3256.3355761243356
176000	-2752.1039823345513	-84.3801332459271	-2667.7238490886243	7	6	2.6716604428802406	147.7878483103789	0.0	3256.3355761243356
177000	-2745.7356307382383	-78.71405209187998	-2667.021578646358	7	6	4.803326250932095	147.7878483103789	0.0	3256.3355761243356
178000	-2748.59641193481	-82.54572149231345	-2666.0506904424965	7	6	4.726355973506072	147.7878483103789	0.0	3256.3355761243356
179000	-2759.8675727981154	-83.9624330215809	-2675.9051397765343	6	7	3.4291844614514666	147.7878483103789	0.0	3256.3355761243356
180000	-2747.692613011759	-76.75762058053098	-2670.9349924312282	6	6	4.6271180532898	147.7878483103789	0.0	3256.3355761243356
181000	-2746.6248023855305	-77.75394391971147	-2668.870858465819	6	6	3.9527038947666107	147.7878483103789	0.0	3256.3355761243356
182000	-2749.4570796096436	-82.90174857103763	-2666.555331038606	7	6	5.877402450693047	147.7878483103789	0.0	3256.3355761243356
183000	-2753.563588332978	-86.53119774423422	-2667.0323905887435	7	7	4.296165065501809	147.7878483103789	0.0	3256.3355761243356
184000	-2747.121155079697	-76.72341792115424	-2670.397737158543	7	6	6.0858687398678235	147.7878483103789	0.0	3256.3355761243356
185000	-2751.2210532016534	-81.709860887009	-2669.511192314644	7	6	3.5189957569826387	147.7878483103789	0.0	3256.3355761243356
186000	-2746.4851984953984	-84.39194152931843	-2662.09325696608	7	6	3.9828144994377643	147.7878483103789	0.0	3256.3355761243356
187000	-2741.1846263554044	-73.88331439832223	-2667.301311957082	6	6	4.980428022858869	147.7878483103789	0.0	3256.3355761243356
188000	-2758.028688132226	-83.72344399062958	-2674.305244141596	6	7	4.55257881418856	147.7878483103789	0.0	3256.3355761243356
189000	-2747.4393794376983	-67.87539346966271	-2679.5639859680355	6	5	4.548197315282313	147.7878483103789	0.0	3256.3355761243356
190000	-2747.0071740968187	-74.70316101316479	-2672.304013083654	6	6	4.973135482022213	147.7878483103789	0.0	3256.3355761243356
191000	-2747.573472093328	-75.29758961706197	-2672.275882476266	6	6	4.108712924180643	147.7878483103789	0.0	3256.3355761243356
192000	-2753.791027575151	-74.3952962134412	-2679.3957313617097	7	5	5.998043557044558	147.7878483103789	0.0	3256.3355761243356
193000	-2756.0841166664186	-75.47145018555912	-2680.6126664808594	7	5	2.85349494146994	147.7878483103789	0.0	3256.3355761243356
194000	-2743.6880039533926	-68.55609539187788	-2675.1319085615146	6	5	4.203123334676846	147.7878483103789	0.0	3256.3355761243356
195000	-2749.2645316195385	-74.05000683436366	-2675.214524785175	7	5	4.519510378250372	147.7878483103789	0.0	3256.3355761243356
196000	-2751.008979422868	-66.46583001781988	-2684.543149405048	6	5	7.387207862278425	147.7878483103789	0.0	3256.3355761243356
197000	-2743.0279984473414	-73.1579111943425	-2669.870087252999	6	6	4.1848677799219605	147.7878483103789	0.0	3256.3355761243356
198000	-2744.6676452207475	-76.71610412189249	-2667.951541098855	6	6	5.480776741867946	147.7878483103789	0.0	3256.3355761243356
199000	-2753.624091665168	-77.49896296168167	-2676.1251287034866	6	6	5.605632017015129	147.7878483103789	0.0	3256.3355761243356
200000	-2748.1590048703415	-73.4320755756165	-2674.726929294725	6	6	4.196877487866141	147.7878483103789	0.0	3256.3355761243356
201000	-2746.084857723725	-74.1256509629213	-2671.9592067608037	6	6	6.933867253807739	147.7878483103789	0.0	3256.3355761243356
202000	-2748.181498882724	-80.63567276449446	-2667.54582611823	7	6	8.367436763105166	147.7878483103789	0.0	3256.3355761243356
203000	-2750.030109555708	-84.11802952053952	-2665.9120800351684	7	6	3.709072976398571	147.7878483103789	0.0	3256.3355761243356
204000	-2751.294075649073	-84.51182421764298	-2666.78225143143	7	7	6.276620809387461	147.7878483103789	0.0	3256.3355761243356
205000	-2745.9933989107185	-80.03933191550682	-2665.9540669952116	7	6	4.383819942483667	147.7878483103789	0.0	3256.3355761243356
206000	-2742.9488044101063	-76.30806235109208	-2666.6407420590144	6	6	3.8293746819545813	147.7878483103789	0.0	3256.3355761243356
207000	-2742.7945625364946	-76.27195471453213	-2666.5226078219625	6	6	4.706956021038804	147.7878483103789	0.0	3256.3355761243356
